Compressor name,Compression speed,Decompression speed,Original size,Compressed size,Ratio,Filename
zstd 1.5.7 -4,120.60,636.49,119215,49083,41.17,shakespeare//twelfth-night_TXT_FolgerShakespeare.txt
zstd 1.5.7 -4,121.29,642.27,125304,51130,40.80,shakespeare//the-merchant-of-venice_TXT_FolgerShakespeare.txt
zstd 1.5.7 -4,67.26,704.17,182866,72235,39.50,shakespeare//hamlet_TXT_FolgerShakespeare.txt
zstd 1.5.7 -4,94.57,379.03,2466,1324,53.69,shakespeare//the-phoenix-and-turtle_TXT_FolgerShakespeare.txt
zstd 1.5.7 -4,67.74,714.57,157464,62407,39.63,shakespeare//henry-v_TXT_FolgerShakespeare.txt
zstd 1.5.7 -4,116.59,614.43,103322,43974,42.56,shakespeare//the-tempest_TXT_FolgerShakespeare.txt
zstd 1.5.7 -4,69.63,735.46,152246,57115,37.51,shakespeare//henry-vi-part-3_TXT_FolgerShakespeare.txt
zstd 1.5.7 -5,64.46,627.64,119215,47782,40.08,shakespeare//twelfth-night_TXT_FolgerShakespeare.txt
zstd 1.5.7 -5,58.17,740.85,171215,65506,38.26,shakespeare//coriolanus_TXT_FolgerShakespeare.txt
zstd 1.5.7 -5,63.90,614.54,113339,46165,40.73,shakespeare//pericles_TXT_FolgerShakespeare.txt
zstd 1.5.7 -5,59.22,744.66,136156,53104,39.00,shakespeare//henry-vi-part-1_TXT_FolgerShakespeare.txt
zstd 1.5.7 -5,58.88,737.58,158182,61021,38.58,shakespeare//henry-vi-part-2_TXT_FolgerShakespeare.txt
zstd 1.5.7 -5,59.53,753.51,152246,56420,37.06,shakespeare//henry-vi-part-3_TXT_FolgerShakespeare.txt
zstd 1.5.7 -5,58.84,727.71,157464,61888,39.30,shakespeare//henry-v_TXT_FolgerShakespeare.txt
zstd 1.5.7 -5,65.01,636.58,119985,46891,39.08,shakespeare//julius-caesar_TXT_FolgerShakespeare.txt
zstd 1.5.7 -5,64.23,619.65,125575,50583,40.28,shakespeare//king-john_TXT_FolgerShakespeare.txt
zstd 1.5.7 -5,58.84,736.95,132828,52271,39.35,shakespeare//loves-labors-lost_TXT_FolgerShakespeare.txt
zstd 1.5.7 -5,58.76,733.01,159858,61972,38.77,shakespeare//henry-iv-part-2_TXT_FolgerShakespeare.txt
zstd 1.5.7 -5,63.42,608.45,106538,43795,41.11,shakespeare//macbeth_TXT_FolgerShakespeare.txt
zstd 1.5.7 -5,65.36,636.89,127784,49814,38.98,shakespeare//much-ado-about-nothing_TXT_FolgerShakespeare.txt
zstd 1.5.7 -5,64.11,624.95,124759,49760,39.88,shakespeare//titus-andronicus_TXT_FolgerShakespeare.txt
zstd 1.5.7 -5,59.13,740.85,145915,57044,39.09,shakespeare//henry-iv-part-1_TXT_FolgerShakespeare.txt
zstd 1.5.7 -5,59.61,751.25,181588,67484,37.16,shakespeare//richard-iii_TXT_FolgerShakespeare.txt
zstd 1.5.7 -5,62.65,581.54,99272,40987,41.29,shakespeare//shakespeares-sonnets_TXT_FolgerShakespeare.txt
zstd 1.5.7 -5,64.50,626.18,125304,49879,39.81,shakespeare//the-merchant-of-venice_TXT_FolgerShakespeare.txt
zstd 1.5.7 -5,57.42,723.33,182866,71403,39.05,shakespeare//hamlet_TXT_FolgerShakespeare.txt
zstd 1.5.7 -5,79.99,380.79,2466,1318,53.45,shakespeare//the-phoenix-and-turtle_TXT_FolgerShakespeare.txt
zstd 1.5.7 -5,63.35,610.25,103322,42658,41.29,shakespeare//the-tempest_TXT_FolgerShakespeare.txt
zstd 1.5.7 -5,57.93,715.66,147304,58994,40.05,shakespeare//the-two-noble-kinsmen_TXT_FolgerShakespeare.txt
zstd 1.5.7 -5,58.47,723.60,169072,66140,39.12,shakespeare//cymbeline_TXT_FolgerShakespeare.txt
zstd 1.5.7 -5,57.69,722.53,149062,59079,39.63,shakespeare//the-winters-tale_TXT_FolgerShakespeare.txt
