,Compressor name,Compression speed,Decompression speed,Original size,Compressed size,Ratio,Filename,File-bits,Entropy,Chi-square,Mean,Monte-Carlo-Pi,Serial-Correlation
84,lzav 4.22 -1,300.61,1539.35,106367384,55306303,52.0,micronaut-shopcart-x64-O3,850939072,0.939821,69997046.508827,0.356596,3.382703,0.236104
85,lzav 4.22 -2,57.75,1401.63,106367384,48299001,45.41,micronaut-shopcart-x64-O3,850939072,0.939821,69997046.508827,0.356596,3.382703,0.236104
86,lzf 3.6 -0,185.49,327.63,106367384,63027411,59.25,micronaut-shopcart-x64-O3,850939072,0.939821,69997046.508827,0.356596,3.382703,0.236104
87,lzf 3.6 -1,177.06,326.12,106367384,62178493,58.46,micronaut-shopcart-x64-O3,850939072,0.939821,69997046.508827,0.356596,3.382703,0.236104
88,lzfse 2017-03-08,59.37,433.17,106367384,42241576,39.71,micronaut-shopcart-x64-O3,850939072,0.939821,69997046.508827,0.356596,3.382703,0.236104
89,lzo1b 2.10 -1,99.95,347.5,106367384,60059436,56.46,micronaut-shopcart-x64-O3,850939072,0.939821,69997046.508827,0.356596,3.382703,0.236104
90,lzo1c 2.10 -1,108.73,360.58,106367384,60735540,57.1,micronaut-shopcart-x64-O3,850939072,0.939821,69997046.508827,0.356596,3.382703,0.236104
91,lzof 2.10 -1,97.88,329.82,106367384,58934706,55.41,micronaut-shopcart-x64-O3,850939072,0.939821,69997046.508827,0.356596,3.382703,0.236104
92,lzo1x 2.10 -1,283.75,366.65,106367384,59396403,55.84,micronaut-shopcart-x64-O3,850939072,0.939821,69997046.508827,0.356596,3.382703,0.236104
93,lzo1y 2.10 -1,286.03,371.24,106367384,59725785,56.15,micronaut-shopcart-x64-O3,850939072,0.939821,69997046.508827,0.356596,3.382703,0.236104
94,lzsse4fast 2019-04-18,172.25,1991.98,106367384,56785236,53.39,micronaut-shopcart-x64-O3,850939072,0.939821,69997046.508827,0.356596,3.382703,0.236104
95,lzsse8 2019-04-18 -1,13.44,2645.38,106367384,51357378,48.28,micronaut-shopcart-x64-O3,850939072,0.939821,69997046.508827,0.356596,3.382703,0.236104
96,lzvn 2017-03-08,38.89,538.82,106367384,46356399,43.58,micronaut-shopcart-x64-O3,850939072,0.939821,69997046.508827,0.356596,3.382703,0.236104
97,quicklz 1.5.0 -1,232.01,288.01,106367384,57201728,53.78,micronaut-shopcart-x64-O3,850939072,0.939821,69997046.508827,0.356596,3.382703,0.236104
98,quicklz 1.5.0 -2,126.25,274.89,106367384,51754176,48.66,micronaut-shopcart-x64-O3,850939072,0.939821,69997046.508827,0.356596,3.382703,0.236104
99,snappy 1.2.1,263.68,725.72,106367384,61747777,58.05,micronaut-shopcart-x64-O3,850939072,0.939821,69997046.508827,0.356596,3.382703,0.236104
100,zstd 1.5.7 -1,288.78,727.75,106367384,47445659,44.61,micronaut-shopcart-x64-O3,850939072,0.939821,69997046.508827,0.356596,3.382703,0.236104
101,zstd 1.5.7 -2,250.46,698.85,106367384,43520481,40.92,micronaut-shopcart-x64-O3,850939072,0.939821,69997046.508827,0.356596,3.382703,0.236104
102,zstd 1.5.7 -3,183.62,676.26,106367384,41246060,38.78,micronaut-shopcart-x64-O3,850939072,0.939821,69997046.508827,0.356596,3.382703,0.236104
103,zstd 1.5.7 -4,159.66,672.76,106367384,40531010,38.1,micronaut-shopcart-x64-O3,850939072,0.939821,69997046.508827,0.356596,3.382703,0.236104
104,zstd 1.5.7 -5,88.67,658.2,106367384,39667250,37.29,micronaut-shopcart-x64-O3,850939072,0.939821,69997046.508827,0.356596,3.382703,0.236104
105,memcpy,16862.53,16773.12,29559056,29559056,100.0,jmh-x64-O3,236472448,0.933499,21463270.632497,0.349364,3.422789,0.251798
106,fastlz 0.5.0 -1,138.54,389.6,29559056,18035531,61.02,jmh-x64-O3,236472448,0.933499,21463270.632497,0.349364,3.422789,0.251798
107,fastlz 0.5.0 -2,150.46,386.19,29559056,17648608,59.71,jmh-x64-O3,236472448,0.933499,21463270.632497,0.349364,3.422789,0.251798
108,kanzi 2.3 -1,141.01,753.89,29559056,14713745,49.78,jmh-x64-O3,236472448,0.933499,21463270.632497,0.349364,3.422789,0.251798
109,kanzi 2.3 -2,113.53,260.73,29559056,12435088,42.07,jmh-x64-O3,236472448,0.933499,21463270.632497,0.349364,3.422789,0.251798
110,kanzi 2.3 -3,77.34,265.03,29559056,12327112,41.7,jmh-x64-O3,236472448,0.933499,21463270.632497,0.349364,3.422789,0.251798
111,lizard 2.1 -10,318.95,2547.93,29559056,17699812,59.88,jmh-x64-O3,236472448,0.933499,21463270.632497,0.349364,3.422789,0.251798
112,lizard 2.1 -11,178.9,2688.73,29559056,16307549,55.17,jmh-x64-O3,236472448,0.933499,21463270.632497,0.349364,3.422789,0.251798
113,lizard 2.1 -12,104.4,2729.04,29559056,15447026,52.26,jmh-x64-O3,236472448,0.933499,21463270.632497,0.349364,3.422789,0.251798
114,lizard 2.1 -13,67.81,2641.01,29559056,15124215,51.17,jmh-x64-O3,236472448,0.933499,21463270.632497,0.349364,3.422789,0.251798
115,lizard 2.1 -14,62.79,2673.38,29559056,14942264,50.55,jmh-x64-O3,236472448,0.933499,21463270.632497,0.349364,3.422789,0.251798
116,lz4 1.10.0,374.16,2480.57,29559056,17523946,59.28,jmh-x64-O3,236472448,0.933499,21463270.632497,0.349364,3.422789,0.251798
117,lz4 1.10.0 --fast -3,466.1,2431.91,29559056,19010400,64.31,jmh-x64-O3,236472448,0.933499,21463270.632497,0.349364,3.422789,0.251798
118,lz4 1.10.0 --fast -17,854.47,3596.13,29559056,23603948,79.85,jmh-x64-O3,236472448,0.933499,21463270.632497,0.349364,3.422789,0.251798
119,lzav 4.22 -1,310.46,1642.59,29559056,16227565,54.9,jmh-x64-O3,236472448,0.933499,21463270.632497,0.349364,3.422789,0.251798
120,lzav 4.22 -2,55.26,1428.02,29559056,14179651,47.97,jmh-x64-O3,236472448,0.933499,21463270.632497,0.349364,3.422789,0.251798
121,lzf 3.6 -0,190.49,342.31,29559056,17728720,59.98,jmh-x64-O3,236472448,0.933499,21463270.632497,0.349364,3.422789,0.251798
122,lzf 3.6 -1,182.14,338.94,29559056,17510717,59.24,jmh-x64-O3,236472448,0.933499,21463270.632497,0.349364,3.422789,0.251798
123,lzfse 2017-03-08,59.14,425.39,29559056,12360108,41.81,jmh-x64-O3,236472448,0.933499,21463270.632497,0.349364,3.422789,0.251798
124,lzo1b 2.10 -1,98.6,358.52,29559056,17068064,57.74,jmh-x64-O3,236472448,0.933499,21463270.632497,0.349364,3.422789,0.251798
125,lzo1c 2.10 -1,108.85,373.54,29559056,17135142,57.97,jmh-x64-O3,236472448,0.933499,21463270.632497,0.349364,3.422789,0.251798
126,lzof 2.10 -1,99.03,341.29,29559056,16609820,56.19,jmh-x64-O3,236472448,0.933499,21463270.632497,0.349364,3.422789,0.251798
127,lzo1x 2.10 -1,293.07,380.82,29559056,16861477,57.04,jmh-x64-O3,236472448,0.933499,21463270.632497,0.349364,3.422789,0.251798
128,lzo1y 2.10 -1,295.2,383.74,29559056,16939046,57.31,jmh-x64-O3,236472448,0.933499,21463270.632497,0.349364,3.422789,0.251798
129,lzsse4fast 2019-04-18,160.25,1949.38,29559056,16990623,57.48,jmh-x64-O3,236472448,0.933499,21463270.632497,0.349364,3.422789,0.251798
