Filename,0,File-bits,Entropy,Chi-square,Mean,Monte-Carlo-Pi,Serial-Correlation,Compressor name,Compression speed,Decompression speed,Original size,Compressed size,Ratio
./llvm-lua-gcc-linux-x64-debug.tar,1,4341760,0.869741,760125.530251,0.290791,3.642776,0.237396,lz4 1.10.0 --fast -17,696.98,2824.83,542720,431798,79.56
./llvm-lua-gcc-linux-x64-debug.tar,1,4341760,0.869741,760125.530251,0.290791,3.642776,0.237396,lzav 4.22 -1,212.5,1339.94,542720,296289,54.59
./llvm-lua-gcc-linux-x64-debug.tar,1,4341760,0.869741,760125.530251,0.290791,3.642776,0.237396,lzav 4.22 -2,47.36,1231.77,542720,266465,49.1
./llvm-lua-gcc-linux-x64-debug.tar,1,4341760,0.869741,760125.530251,0.290791,3.642776,0.237396,lzf 3.6 -0,170.08,303.81,542720,310943,57.29
./llvm-lua-gcc-linux-x64-debug.tar,1,4341760,0.869741,760125.530251,0.290791,3.642776,0.237396,lzf 3.6 -1,176.74,305.47,542720,306598,56.49
./llvm-lua-gcc-linux-x64-debug.tar,1,4341760,0.869741,760125.530251,0.290791,3.642776,0.237396,lzfse 2017-03-08,44.23,326.76,542720,212335,39.12
./llvm-lua-gcc-linux-x64-debug.tar,1,4341760,0.869741,760125.530251,0.290791,3.642776,0.237396,lzo1b 2.10 -1,105.92,322.19,542720,303175,55.86
./llvm-lua-gcc-linux-x64-debug.tar,1,4341760,0.869741,760125.530251,0.290791,3.642776,0.237396,lzo1c 2.10 -1,130.81,329.1,542720,301501,55.55
./llvm-lua-gcc-linux-x64-debug.tar,1,4341760,0.869741,760125.530251,0.290791,3.642776,0.237396,lzof 2.10 -1,109.02,307.84,542720,288715,53.2
./llvm-lua-gcc-linux-x64-debug.tar,1,4341760,0.869741,760125.530251,0.290791,3.642776,0.237396,lzo1x 2.10 -1,268.37,316.78,542720,291724,53.75
./llvm-lua-gcc-linux-x64-debug.tar,1,4341760,0.869741,760125.530251,0.290791,3.642776,0.237396,lzo1y 2.10 -1,270.75,319.19,542720,292603,53.91
./llvm-lua-gcc-linux-x64-debug.tar,1,4341760,0.869741,760125.530251,0.290791,3.642776,0.237396,lzsse4fast 2019-04-18,131.48,1627.76,542720,304485,56.1
