Compressor name,Compression speed,Decompression speed,Original size,Compressed size,Ratio,Filename
lizard 2.1 -11,335.81,2863.91,35358315,17449524,49.35,corpus_text//micronaut-shopcart-x64-prof-text
lizard 2.1 -12,180.79,3035.18,35358315,16300711,46.10,corpus_text//micronaut-shopcart-x64-prof-text
lizard 2.1 -13,114.46,3027.26,35358315,15781576,44.63,corpus_text//micronaut-shopcart-x64-prof-text
lizard 2.1 -14,104.54,2972.03,35358315,15473083,43.76,corpus_text//micronaut-shopcart-x64-prof-text
lz4 1.10.0,629.38,4061.60,35358315,19257724,54.46,corpus_text//micronaut-shopcart-x64-prof-text
lz4 1.10.0 --fast -3,745.04,4019.93,35358315,21343942,60.36,corpus_text//micronaut-shopcart-x64-prof-text
lz4 1.10.0 --fast -17,1381.76,5090.27,35358315,27848616,78.76,corpus_text//micronaut-shopcart-x64-prof-text
lzav 4.22 -1,430.97,2231.82,35358315,16457290,46.54,corpus_text//micronaut-shopcart-x64-prof-text
lzav 4.22 -2,84.20,2135.78,35358315,14158840,40.04,corpus_text//micronaut-shopcart-x64-prof-text
lzf 3.6 -0,318.86,557.03,35358315,20232792,57.22,corpus_text//micronaut-shopcart-x64-prof-text
lzf 3.6 -1,311.90,561.27,35358315,19803322,56.01,corpus_text//micronaut-shopcart-x64-prof-text
lzfse 2017-03-08,85.12,731.07,35358315,13103899,37.06,corpus_text//micronaut-shopcart-x64-prof-text
lzo1b 2.10 -1,203.18,580.26,35358315,19083656,53.97,corpus_text//micronaut-shopcart-x64-prof-text
lzo1c 2.10 -1,225.96,606.11,35358315,19271465,54.50,corpus_text//micronaut-shopcart-x64-prof-text
lzof 2.10 -1,194.31,546.64,35358315,18816731,53.22,corpus_text//micronaut-shopcart-x64-prof-text
lzo1x 2.10 -1,491.55,593.79,35358315,18781046,53.12,corpus_text//micronaut-shopcart-x64-prof-text
lzo1y 2.10 -1,497.08,592.56,35358315,18917772,53.50,corpus_text//micronaut-shopcart-x64-prof-text
lzsse4fast 2019-04-18,265.38,4016.54,35358315,17464561,49.39,corpus_text//micronaut-shopcart-x64-prof-text
lzsse8 2019-04-18 -1,16.57,4626.11,35358315,15435800,43.66,corpus_text//micronaut-shopcart-x64-prof-text
lzvn 2017-03-08,72.55,967.17,35358315,14283036,40.40,corpus_text//micronaut-shopcart-x64-prof-text
quicklz 1.5.0 -1,409.94,551.00,35358315,18207796,51.50,corpus_text//micronaut-shopcart-x64-prof-text
quicklz 1.5.0 -2,230.09,566.13,35358315,16055902,45.41,corpus_text//micronaut-shopcart-x64-prof-text
snappy 1.2.1,361.49,1044.98,35358315,19497133,55.14,corpus_text//micronaut-shopcart-x64-prof-text
zstd 1.5.7 -1,470.50,1355.59,35358315,14936675,42.24,corpus_text//micronaut-shopcart-x64-prof-text
zstd 1.5.7 -2,383.52,1287.86,35358315,13529176,38.26,corpus_text//micronaut-shopcart-x64-prof-text
zstd 1.5.7 -3,278.61,1209.81,35358315,12660201,35.81,corpus_text//micronaut-shopcart-x64-prof-text
zstd 1.5.7 -4,245.38,1192.62,35358315,12350065,34.93,corpus_text//micronaut-shopcart-x64-prof-text
