Compressor name,Compression speed,Decompression speed,Original size,Compressed size,Ratio,Filename
lzav 4.22 -1,537.82,2671.55,5345280,934510,17.48,silesia//xml
lzav 4.22 -2,131.37,3226.42,5345280,736639,13.78,silesia//xml
lzf 3.6 -0,330.25,461.82,5345280,1438227,26.91,silesia//xml
lzf 3.6 -1,327.15,456.10,5345280,1379833,25.81,silesia//xml
lzfse 2017-03-08,106.67,888.01,5345280,683327,12.78,silesia//xml
lzo1b 2.10 -1,282.32,608.64,5345280,1193277,22.32,silesia//xml
lzo1c 2.10 -1,295.48,589.33,5345280,1267845,23.72,silesia//xml
lzof 2.10 -1,263.87,578.46,5345280,1295479,24.24,silesia//xml
lzo1x 2.10 -1,474.44,571.28,5345280,1292820,24.19,silesia//xml
lzo1y 2.10 -1,473.92,585.52,5345280,1292044,24.17,silesia//xml
lzsse4fast 2019-04-18,275.30,3724.68,5345280,1388503,25.98,silesia//xml
lzsse8 2019-04-18 -1,15.30,5292.40,5345280,919525,17.20,silesia//xml
lzvn 2017-03-08,68.07,955.03,5345280,957521,17.91,silesia//xml
quicklz 1.5.0 -1,448.97,702.76,5345280,1124708,21.04,silesia//xml
quicklz 1.5.0 -2,264.60,801.86,5345280,897312,16.79,silesia//xml
snappy 1.2.1,435.44,1410.58,5345280,1299366,24.31,silesia//xml
zstd 1.5.7 -1,479.67,1458.40,5345280,693317,12.97,silesia//xml
zstd 1.5.7 -2,435.85,1376.81,5345280,677927,12.68,silesia//xml
zstd 1.5.7 -3,388.60,1437.48,5345280,635299,11.89,silesia//xml
zstd 1.5.7 -4,373.05,1432.86,5345280,633922,11.86,silesia//xml
zstd 1.5.7 -5,180.08,1511.81,5345280,574677,10.75,silesia//xml
memcpy,15393.27,15283.66,8474240,8474240,100.00,silesia//x-ray
fastlz 0.5.0 -1,133.23,459.03,8474240,8202940,96.80,silesia//x-ray
fastlz 0.5.0 -2,167.93,438.91,8474240,8200360,96.77,silesia//x-ray
kanzi 2.3 -1,124.05,841.73,8474240,7423607,87.60,silesia//x-ray
kanzi 2.3 -2,94.43,179.66,8474240,6129404,72.33,silesia//x-ray
kanzi 2.3 -3,51.11,138.85,8474240,5159480,60.88,silesia//x-ray
lizard 2.1 -10,798.16,14814.30,8474240,8459685,99.83,silesia//x-ray
lizard 2.1 -11,156.24,4084.47,8474240,7822478,92.31,silesia//x-ray
lizard 2.1 -12,88.09,2325.40,8474240,7369148,86.96,silesia//x-ray
lizard 2.1 -13,56.57,2307.20,8474240,7305932,86.21,silesia//x-ray
lizard 2.1 -14,56.52,2312.64,8474240,7295005,86.08,silesia//x-ray
lz4 1.10.0,1145.98,8382.97,8474240,8390195,99.01,silesia//x-ray
lz4 1.10.0 --fast -3,1624.82,10919.27,8474240,8460144,99.83,silesia//x-ray
lz4 1.10.0 --fast -17,2927.71,14929.61,8474240,8503227,100.34,silesia//x-ray
lzav 4.22 -1,9101.08,15228.16,8474240,8474044,100.00,silesia//x-ray
lzav 4.22 -2,32.22,1286.38,8474240,7243848,85.48,silesia//x-ray
lzf 3.6 -0,191.26,489.56,8474240,8283610,97.75,silesia//x-ray
lzf 3.6 -1,223.99,497.94,8474240,8111360,95.72,silesia//x-ray
lzfse 2017-03-08,56.85,370.79,8474240,5988093,70.66,silesia//x-ray
lzo1b 2.10 -1,68.25,453.45,8474240,8000619,94.41,silesia//x-ray
lzo1c 2.10 -1,59.04,541.92,8474240,8045250,94.94,silesia//x-ray
lzof 2.10 -1,55.39,519.79,8474240,8044682,94.93,silesia//x-ray
lzo1x 2.10 -1,7564.08,12145.69,8474240,8497133,100.27,silesia//x-ray
lzo1y 2.10 -1,7542.88,11978.45,8474240,8497142,100.27,silesia//x-ray
lzsse4fast 2019-04-18,134.37,2112.92,8474240,7525821,88.81,silesia//x-ray
lzsse8 2019-04-18 -1,25.50,2727.70,8474240,7183700,84.77,silesia//x-ray
lzvn 2017-03-08,35.28,430.56,8474240,7083178,83.58,silesia//x-ray
quicklz 1.5.0 -1,276.26,202.35,8474240,7440632,87.80,silesia//x-ray
quicklz 1.5.0 -2,100.72,150.36,8474240,6952012,82.04,silesia//x-ray
snappy 1.2.1,6001.93,11248.50,8474240,8457853,99.81,silesia//x-ray
zstd 1.5.7 -1,535.96,760.35,8474240,6772118,79.91,silesia//x-ray
zstd 1.5.7 -2,334.68,707.66,8474240,6679314,78.82,silesia//x-ray
zstd 1.5.7 -3,121.37,565.79,8474240,6085208,71.81,silesia//x-ray
zstd 1.5.7 -4,93.17,555.88,8474240,5709895,67.38,silesia//x-ray
zstd 1.5.7 -5,66.17,560.81,8474240,5556373,65.57,silesia//x-ray
memcpy,15198.10,15690.05,41458703,41458703,100.00,silesia//webster
