,Compressor name,Compression speed,Decompression speed,Original size,Compressed size,Ratio,Filename,File-bits,Entropy,Chi-square,Mean,Monte-Carlo-Pi,Serial-Correlation
68,zstd 1.5.7 -4,483.88,1517.26,33553445,2834898,8.45,nci,268427560,0.76985,80981795.000139,0.225369,4.0,0.109167
69,zstd 1.5.7 -5,193.22,1591.71,33553445,2578416,7.68,nci,268427560,0.76985,80981795.000139,0.225369,4.0,0.109167
70,memcpy,19705.53,19453.75,21606400,21606400,100.0,samba,172851200,0.975708,5788138.192971,0.408504,3.943614,-0.019775
71,fastlz 0.5.0 -1,227.26,548.76,21606400,8327938,38.54,samba,172851200,0.975708,5788138.192971,0.408504,3.943614,-0.019775
72,fastlz 0.5.0 -2,241.87,582.7,21606400,7651048,35.41,samba,172851200,0.975708,5788138.192971,0.408504,3.943614,-0.019775
73,kanzi 2.3 -1,119.98,883.21,21606400,6082740,28.15,samba,172851200,0.975708,5788138.192971,0.408504,3.943614,-0.019775
74,kanzi 2.3 -2,109.03,389.31,21606400,5240570,24.25,samba,172851200,0.975708,5788138.192971,0.408504,3.943614,-0.019775
75,kanzi 2.3 -3,76.46,191.32,21606400,4887334,22.62,samba,172851200,0.975708,5788138.192971,0.408504,3.943614,-0.019775
76,lizard 2.1 -10,382.9,2766.97,21606400,7927178,36.69,samba,172851200,0.975708,5788138.192971,0.408504,3.943614,-0.019775
77,lizard 2.1 -11,315.86,2788.99,21606400,7513035,34.77,samba,172851200,0.975708,5788138.192971,0.408504,3.943614,-0.019775
78,lizard 2.1 -12,134.37,2773.02,21606400,6688047,30.95,samba,172851200,0.975708,5788138.192971,0.408504,3.943614,-0.019775
79,lizard 2.1 -13,85.56,2770.4,21606400,6498928,30.08,samba,172851200,0.975708,5788138.192971,0.408504,3.943614,-0.019775
80,lizard 2.1 -14,78.25,2783.54,21606400,6390776,29.58,samba,172851200,0.975708,5788138.192971,0.408504,3.943614,-0.019775
81,lz4 1.10.0,418.63,2849.85,21606400,7716839,35.72,samba,172851200,0.975708,5788138.192971,0.408504,3.943614,-0.019775
82,lz4 1.10.0 --fast -3,435.47,2790.86,21606400,8250343,38.18,samba,172851200,0.975708,5788138.192971,0.408504,3.943614,-0.019775
83,lz4 1.10.0 --fast -17,610.04,2706.84,21606400,11109978,51.42,samba,172851200,0.975708,5788138.192971,0.408504,3.943614,-0.019775
84,lzav 4.22 -1,383.61,2154.1,21606400,6400026,29.62,samba,172851200,0.975708,5788138.192971,0.408504,3.943614,-0.019775
85,lzav 4.22 -2,88.6,2381.41,21606400,5550000,25.69,samba,172851200,0.975708,5788138.192971,0.408504,3.943614,-0.019775
86,lzf 3.6 -0,240.13,409.8,21606400,8616496,39.88,samba,172851200,0.975708,5788138.192971,0.408504,3.943614,-0.019775
87,lzf 3.6 -1,242.73,424.53,21606400,8208471,37.99,samba,172851200,0.975708,5788138.192971,0.408504,3.943614,-0.019775
88,lzfse 2017-03-08,80.64,627.17,21606400,5208850,24.11,samba,172851200,0.975708,5788138.192971,0.408504,3.943614,-0.019775
89,lzo1b 2.10 -1,179.86,490.52,21606400,7515538,34.78,samba,172851200,0.975708,5788138.192971,0.408504,3.943614,-0.019775
90,lzo1c 2.10 -1,181.01,484.1,21606400,7983082,36.95,samba,172851200,0.975708,5788138.192971,0.408504,3.943614,-0.019775
91,lzof 2.10 -1,165.85,466.29,21606400,8070021,37.35,samba,172851200,0.975708,5788138.192971,0.408504,3.943614,-0.019775
92,lzo1x 2.10 -1,393.97,485.45,21606400,8017488,37.11,samba,172851200,0.975708,5788138.192971,0.408504,3.943614,-0.019775
93,lzo1y 2.10 -1,397.14,492.44,21606400,8011863,37.08,samba,172851200,0.975708,5788138.192971,0.408504,3.943614,-0.019775
94,lzsse4fast 2019-04-18,221.31,3524.46,21606400,7601765,35.18,samba,172851200,0.975708,5788138.192971,0.408504,3.943614,-0.019775
95,lzsse8 2019-04-18 -1,14.88,4175.83,21606400,6433602,29.78,samba,172851200,0.975708,5788138.192971,0.408504,3.943614,-0.019775
96,lzvn 2017-03-08,52.92,818.82,21606400,6288646,29.11,samba,172851200,0.975708,5788138.192971,0.408504,3.943614,-0.019775
97,quicklz 1.5.0 -1,350.65,489.5,21606400,7309452,33.83,samba,172851200,0.975708,5788138.192971,0.408504,3.943614,-0.019775
98,quicklz 1.5.0 -2,175.29,471.18,21606400,6548190,30.31,samba,172851200,0.975708,5788138.192971,0.408504,3.943614,-0.019775
99,snappy 1.2.1,363.96,1090.09,21606400,8014394,37.09,samba,172851200,0.975708,5788138.192971,0.408504,3.943614,-0.019775
100,zstd 1.5.7 -1,351.38,1200.04,21606400,5487600,25.4,samba,172851200,0.975708,5788138.192971,0.408504,3.943614,-0.019775
101,zstd 1.5.7 -2,317.56,1153.88,21606400,5218846,24.15,samba,172851200,0.975708,5788138.192971,0.408504,3.943614,-0.019775
102,zstd 1.5.7 -3,261.92,1183.66,21606400,4955117,22.93,samba,172851200,0.975708,5788138.192971,0.408504,3.943614,-0.019775
103,zstd 1.5.7 -4,239.14,1187.7,21606400,4917301,22.76,samba,172851200,0.975708,5788138.192971,0.408504,3.943614,-0.019775
104,zstd 1.5.7 -5,127.79,1135.05,21606400,4723938,21.86,samba,172851200,0.975708,5788138.192971,0.408504,3.943614,-0.019775
105,memcpy,14974.51,15244.55,10192446,10192446,100.0,dickens,81539568,0.991071,1007223.189488,0.444429,4.0,-0.020868
106,fastlz 0.5.0 -1,169.26,319.4,10192446,6057734,59.43,dickens,81539568,0.991071,1007223.189488,0.444429,4.0,-0.020868
107,fastlz 0.5.0 -2,151.27,313.39,10192446,5995417,58.82,dickens,81539568,0.991071,1007223.189488,0.444429,4.0,-0.020868
108,kanzi 2.3 -1,91.33,731.76,10192446,4514414,44.29,dickens,81539568,0.991071,1007223.189488,0.444429,4.0,-0.020868
109,kanzi 2.3 -2,81.2,276.92,10192446,4076000,39.99,dickens,81539568,0.991071,1007223.189488,0.444429,4.0,-0.020868
110,kanzi 2.3 -3,54.27,131.14,10192446,3284564,32.23,dickens,81539568,0.991071,1007223.189488,0.444429,4.0,-0.020868
111,lizard 2.1 -10,234.9,3034.82,10192446,6431869,63.1,dickens,81539568,0.991071,1007223.189488,0.444429,4.0,-0.020868
112,lizard 2.1 -11,152.79,2773.66,10192446,5459482,53.56,dickens,81539568,0.991071,1007223.189488,0.444429,4.0,-0.020868
113,lizard 2.1 -12,78.93,2930.84,10192446,5038731,49.44,dickens,81539568,0.991071,1007223.189488,0.444429,4.0,-0.020868
114,lizard 2.1 -13,51.37,3003.58,10192446,4836304,47.45,dickens,81539568,0.991071,1007223.189488,0.444429,4.0,-0.020868
115,lizard 2.1 -14,44.11,3051.88,10192446,4700059,46.11,dickens,81539568,0.991071,1007223.189488,0.444429,4.0,-0.020868
116,lz4 1.10.0,254.93,2539.29,10192446,6428742,63.07,dickens,81539568,0.991071,1007223.189488,0.444429,4.0,-0.020868
117,lz4 1.10.0 --fast -3,295.74,2359.52,10192446,7082423,69.49,dickens,81539568,0.991071,1007223.189488,0.444429,4.0,-0.020868
118,lz4 1.10.0 --fast -17,667.97,2471.83,10192446,9215415,90.41,dickens,81539568,0.991071,1007223.189488,0.444429,4.0,-0.020868
119,lzav 4.22 -1,176.76,1320.28,10192446,4780313,46.9,dickens,81539568,0.991071,1007223.189488,0.444429,4.0,-0.020868
120,lzav 4.22 -2,44.5,1633.06,10192446,4003817,39.28,dickens,81539568,0.991071,1007223.189488,0.444429,4.0,-0.020868
121,lzf 3.6 -0,153.52,289.65,10192446,6329084,62.1,dickens,81539568,0.991071,1007223.189488,0.444429,4.0,-0.020868
122,lzf 3.6 -1,162.13,312.92,10192446,5850777,57.4,dickens,81539568,0.991071,1007223.189488,0.444429,4.0,-0.020868
123,lzfse 2017-03-08,49.48,393.0,10192446,3864220,37.91,dickens,81539568,0.991071,1007223.189488,0.444429,4.0,-0.020868
124,lzo1b 2.10 -1,100.72,265.2,10192446,5859092,57.48,dickens,81539568,0.991071,1007223.189488,0.444429,4.0,-0.020868
125,lzo1c 2.10 -1,104.99,269.59,10192446,6045330,59.31,dickens,81539568,0.991071,1007223.189488,0.444429,4.0,-0.020868
126,lzof 2.10 -1,92.33,246.97,10192446,6235345,61.18,dickens,81539568,0.991071,1007223.189488,0.444429,4.0,-0.020868
127,lzo1x 2.10 -1,193.12,258.54,10192446,6207702,60.9,dickens,81539568,0.991071,1007223.189488,0.444429,4.0,-0.020868
128,lzo1y 2.10 -1,198.56,271.5,10192446,6376329,62.56,dickens,81539568,0.991071,1007223.189488,0.444429,4.0,-0.020868
129,lzsse4fast 2019-04-18,142.06,2764.04,10192446,5161515,50.64,dickens,81539568,0.991071,1007223.189488,0.444429,4.0,-0.020868
130,lzsse8 2019-04-18 -1,11.87,3034.12,10192446,4515350,44.3,dickens,81539568,0.991071,1007223.189488,0.444429,4.0,-0.020868
131,lzvn 2017-03-08,29.99,471.34,10192446,5001004,49.07,dickens,81539568,0.991071,1007223.189488,0.444429,4.0,-0.020868
132,quicklz 1.5.0 -1,216.29,331.4,10192446,5831353,57.21,dickens,81539568,0.991071,1007223.189488,0.444429,4.0,-0.020868
133,quicklz 1.5.0 -2,95.28,315.35,10192446,4953617,48.6,dickens,81539568,0.991071,1007223.189488,0.444429,4.0,-0.020868
134,snappy 1.2.1,186.23,560.78,10192446,6249045,61.31,dickens,81539568,0.991071,1007223.189488,0.444429,4.0,-0.020868
135,zstd 1.5.7 -1,207.02,889.77,10192446,4261734,41.81,dickens,81539568,0.991071,1007223.189488,0.444429,4.0,-0.020868
136,zstd 1.5.7 -2,154.77,795.91,10192446,3864999,37.92,dickens,81539568,0.991071,1007223.189488,0.444429,4.0,-0.020868
137,zstd 1.5.7 -3,132.55,799.62,10192446,3663504,35.94,dickens,81539568,0.991071,1007223.189488,0.444429,4.0,-0.020868
138,zstd 1.5.7 -4,120.19,805.62,10192446,3584538,35.17,dickens,81539568,0.991071,1007223.189488,0.444429,4.0,-0.020868
139,zstd 1.5.7 -5,78.18,765.4,10192446,3529639,34.63,dickens,81539568,0.991071,1007223.189488,0.444429,4.0,-0.020868
140,memcpy,15552.03,15434.6,5345280,5345280,100.0,xml,42762240,0.998125,111084.457924,0.474516,3.999987,-0.007012
141,fastlz 0.5.0 -1,342.39,706.02,5345280,1385060,25.91,xml,42762240,0.998125,111084.457924,0.474516,3.999987,-0.007012
142,fastlz 0.5.0 -2,315.26,742.76,5345280,1273649,23.83,xml,42762240,0.998125,111084.457924,0.474516,3.999987,-0.007012
143,kanzi 2.3 -1,108.27,905.3,5345280,774835,14.5,xml,42762240,0.998125,111084.457924,0.474516,3.999987,-0.007012
144,kanzi 2.3 -2,104.24,543.21,5345280,644521,12.06,xml,42762240,0.998125,111084.457924,0.474516,3.999987,-0.007012
145,kanzi 2.3 -3,92.38,218.45,5345280,635986,11.9,xml,42762240,0.998125,111084.457924,0.474516,3.999987,-0.007012
146,lizard 2.1 -10,488.76,2496.21,5345280,1240098,23.2,xml,42762240,0.998125,111084.457924,0.474516,3.999987,-0.007012
147,lizard 2.1 -11,408.56,2469.34,5345280,1163454,21.77,xml,42762240,0.998125,111084.457924,0.474516,3.999987,-0.007012
148,lizard 2.1 -12,157.18,2529.09,5345280,1008880,18.87,xml,42762240,0.998125,111084.457924,0.474516,3.999987,-0.007012
149,lizard 2.1 -13,103.23,2739.65,5345280,904733,16.93,xml,42762240,0.998125,111084.457924,0.474516,3.999987,-0.007012
150,lizard 2.1 -14,92.56,2883.05,5345280,853533,15.97,xml,42762240,0.998125,111084.457924,0.474516,3.999987,-0.007012
151,lz4 1.10.0,528.54,2750.3,5345280,1227495,22.96,xml,42762240,0.998125,111084.457924,0.474516,3.999987,-0.007012
152,lz4 1.10.0 --fast -3,546.73,2732.28,5345280,1294713,24.22,xml,42762240,0.998125,111084.457924,0.474516,3.999987,-0.007012
153,lz4 1.10.0 --fast -17,668.34,2623.83,5345280,1671390,31.27,xml,42762240,0.998125,111084.457924,0.474516,3.999987,-0.007012
154,lzav 4.22 -1,537.82,2671.55,5345280,934510,17.48,xml,42762240,0.998125,111084.457924,0.474516,3.999987,-0.007012
155,lzav 4.22 -2,131.37,3226.42,5345280,736639,13.78,xml,42762240,0.998125,111084.457924,0.474516,3.999987,-0.007012
156,lzf 3.6 -0,330.25,461.82,5345280,1438227,26.91,xml,42762240,0.998125,111084.457924,0.474516,3.999987,-0.007012
157,lzf 3.6 -1,327.15,456.1,5345280,1379833,25.81,xml,42762240,0.998125,111084.457924,0.474516,3.999987,-0.007012
158,lzfse 2017-03-08,106.67,888.01,5345280,683327,12.78,xml,42762240,0.998125,111084.457924,0.474516,3.999987,-0.007012
159,lzo1b 2.10 -1,282.32,608.64,5345280,1193277,22.32,xml,42762240,0.998125,111084.457924,0.474516,3.999987,-0.007012
