,Compressor name,Compression speed,Decompression speed,Original size,Compressed size,Ratio,Filename,File-bits,Entropy,Chi-square,Mean,Monte-Carlo-Pi,Serial-Correlation
49,lzav 4.22 -1,433.95,2454.14,10838809,5452252,50.3,jmh-x64-O2-text,86710472,0.970799,3486374.699119,0.399741,3.17223,0.211665
50,lzav 4.22 -2,83.47,2260.36,10838809,4743200,43.76,jmh-x64-O2-text,86710472,0.970799,3486374.699119,0.399741,3.17223,0.211665
51,lzf 3.6 -0,316.43,558.81,10838809,6409230,59.13,jmh-x64-O2-text,86710472,0.970799,3486374.699119,0.399741,3.17223,0.211665
52,lzf 3.6 -1,304.12,559.46,10838809,6292501,58.06,jmh-x64-O2-text,86710472,0.970799,3486374.699119,0.399741,3.17223,0.211665
53,lzfse 2017-03-08,82.34,707.85,10838809,4317610,39.83,jmh-x64-O2-text,86710472,0.970799,3486374.699119,0.399741,3.17223,0.211665
54,lzo1b 2.10 -1,189.72,576.94,10838809,6133797,56.59,jmh-x64-O2-text,86710472,0.970799,3486374.699119,0.399741,3.17223,0.211665
55,lzo1c 2.10 -1,211.38,604.55,10838809,6174552,56.97,jmh-x64-O2-text,86710472,0.970799,3486374.699119,0.399741,3.17223,0.211665
56,lzof 2.10 -1,183.39,542.4,10838809,6012153,55.47,jmh-x64-O2-text,86710472,0.970799,3486374.699119,0.399741,3.17223,0.211665
57,lzo1x 2.10 -1,493.65,595.7,10838809,6041476,55.74,jmh-x64-O2-text,86710472,0.970799,3486374.699119,0.399741,3.17223,0.211665
58,lzo1y 2.10 -1,499.8,588.4,10838809,6090729,56.19,jmh-x64-O2-text,86710472,0.970799,3486374.699119,0.399741,3.17223,0.211665
59,lzsse4fast 2019-04-18,246.93,3890.05,10838809,5581778,51.5,jmh-x64-O2-text,86710472,0.970799,3486374.699119,0.399741,3.17223,0.211665
60,lzsse8 2019-04-18 -1,11.96,4641.25,10838809,5047197,46.57,jmh-x64-O2-text,86710472,0.970799,3486374.699119,0.399741,3.17223,0.211665
61,lzvn 2017-03-08,69.41,959.09,10838809,4665136,43.04,jmh-x64-O2-text,86710472,0.970799,3486374.699119,0.399741,3.17223,0.211665
62,quicklz 1.5.0 -1,410.23,539.4,10838809,5877051,54.22,jmh-x64-O2-text,86710472,0.970799,3486374.699119,0.399741,3.17223,0.211665
63,quicklz 1.5.0 -2,223.88,531.55,10838809,5220509,48.16,jmh-x64-O2-text,86710472,0.970799,3486374.699119,0.399741,3.17223,0.211665
64,snappy 1.2.1,366.75,1101.63,10838809,6294918,58.08,jmh-x64-O2-text,86710472,0.970799,3486374.699119,0.399741,3.17223,0.211665
65,zstd 1.5.7 -1,461.94,1341.95,10838809,4942861,45.6,jmh-x64-O2-text,86710472,0.970799,3486374.699119,0.399741,3.17223,0.211665
66,zstd 1.5.7 -2,381.26,1283.64,10838809,4504078,41.56,jmh-x64-O2-text,86710472,0.970799,3486374.699119,0.399741,3.17223,0.211665
67,zstd 1.5.7 -3,268.7,1196.91,10838809,4235634,39.08,jmh-x64-O2-text,86710472,0.970799,3486374.699119,0.399741,3.17223,0.211665
68,zstd 1.5.7 -4,230.98,1177.9,10838809,4123685,38.05,jmh-x64-O2-text,86710472,0.970799,3486374.699119,0.399741,3.17223,0.211665
69,zstd 1.5.7 -5,126.62,1140.68,10838809,4009835,37.0,jmh-x64-O2-text,86710472,0.970799,3486374.699119,0.399741,3.17223,0.211665
70,memcpy,27933.38,27750.01,2887222,2887222,100.0,hello-isolate-x64-O2-text,23097776,0.966535,1063256.625924,0.392724,3.196331,0.214036
71,fastlz 0.5.0 -1,274.08,662.09,2887222,1657770,57.42,hello-isolate-x64-O2-text,23097776,0.966535,1063256.625924,0.392724,3.196331,0.214036
72,fastlz 0.5.0 -2,273.49,654.37,2887222,1615665,55.96,hello-isolate-x64-O2-text,23097776,0.966535,1063256.625924,0.392724,3.196331,0.214036
73,kanzi 2.3 -1,234.93,1311.18,2887222,1288546,44.63,hello-isolate-x64-O2-text,23097776,0.966535,1063256.625924,0.392724,3.196331,0.214036
74,kanzi 2.3 -2,196.47,527.12,2887222,1121813,38.85,hello-isolate-x64-O2-text,23097776,0.966535,1063256.625924,0.392724,3.196331,0.214036
75,kanzi 2.3 -3,135.9,556.69,2887222,1100761,38.13,hello-isolate-x64-O2-text,23097776,0.966535,1063256.625924,0.392724,3.196331,0.214036
76,lizard 2.1 -10,545.66,3073.78,2887222,1599620,55.4,hello-isolate-x64-O2-text,23097776,0.966535,1063256.625924,0.392724,3.196331,0.214036
77,lizard 2.1 -11,283.77,3029.87,2887222,1454645,50.38,hello-isolate-x64-O2-text,23097776,0.966535,1063256.625924,0.392724,3.196331,0.214036
78,lizard 2.1 -12,162.56,3165.25,2887222,1375409,47.64,hello-isolate-x64-O2-text,23097776,0.966535,1063256.625924,0.392724,3.196331,0.214036
79,lizard 2.1 -13,107.41,3182.72,2887222,1342381,46.49,hello-isolate-x64-O2-text,23097776,0.966535,1063256.625924,0.392724,3.196331,0.214036
80,lizard 2.1 -14,100.88,3197.47,2887222,1322750,45.81,hello-isolate-x64-O2-text,23097776,0.966535,1063256.625924,0.392724,3.196331,0.214036
81,lz4 1.10.0,664.55,4368.69,2887222,1591783,55.13,hello-isolate-x64-O2-text,23097776,0.966535,1063256.625924,0.392724,3.196331,0.214036
82,lz4 1.10.0 --fast -3,816.3,4402.53,2887222,1766915,61.2,hello-isolate-x64-O2-text,23097776,0.966535,1063256.625924,0.392724,3.196331,0.214036
83,lz4 1.10.0 --fast -17,1674.04,6961.1,2887222,2271243,78.67,hello-isolate-x64-O2-text,23097776,0.966535,1063256.625924,0.392724,3.196331,0.214036
84,lzav 4.22 -1,474.85,2827.54,2887222,1417153,49.08,hello-isolate-x64-O2-text,23097776,0.966535,1063256.625924,0.392724,3.196331,0.214036
85,lzav 4.22 -2,94.4,2562.19,2887222,1247915,43.22,hello-isolate-x64-O2-text,23097776,0.966535,1063256.625924,0.392724,3.196331,0.214036
86,lzf 3.6 -0,330.56,594.51,2887222,1626559,56.34,hello-isolate-x64-O2-text,23097776,0.966535,1063256.625924,0.392724,3.196331,0.214036
87,lzf 3.6 -1,322.84,590.58,2887222,1595231,55.25,hello-isolate-x64-O2-text,23097776,0.966535,1063256.625924,0.392724,3.196331,0.214036
88,lzfse 2017-03-08,86.33,744.57,2887222,1106875,38.34,hello-isolate-x64-O2-text,23097776,0.966535,1063256.625924,0.392724,3.196331,0.214036
89,lzo1b 2.10 -1,198.35,611.45,2887222,1564607,54.19,hello-isolate-x64-O2-text,23097776,0.966535,1063256.625924,0.392724,3.196331,0.214036
90,lzo1c 2.10 -1,223.53,639.98,2887222,1569689,54.37,hello-isolate-x64-O2-text,23097776,0.966535,1063256.625924,0.392724,3.196331,0.214036
91,lzof 2.10 -1,192.64,576.21,2887222,1531915,53.06,hello-isolate-x64-O2-text,23097776,0.966535,1063256.625924,0.392724,3.196331,0.214036
92,lzo1x 2.10 -1,521.62,632.63,2887222,1536094,53.2,hello-isolate-x64-O2-text,23097776,0.966535,1063256.625924,0.392724,3.196331,0.214036
93,lzo1y 2.10 -1,535.22,634.21,2887222,1547799,53.61,hello-isolate-x64-O2-text,23097776,0.966535,1063256.625924,0.392724,3.196331,0.214036
94,lzsse4fast 2019-04-18,247.15,4073.18,2887222,1452238,50.3,hello-isolate-x64-O2-text,23097776,0.966535,1063256.625924,0.392724,3.196331,0.214036
95,lzsse8 2019-04-18 -1,4.69,5122.42,2887222,1312811,45.47,hello-isolate-x64-O2-text,23097776,0.966535,1063256.625924,0.392724,3.196331,0.214036
96,lzvn 2017-03-08,71.98,1008.68,2887222,1198837,41.52,hello-isolate-x64-O2-text,23097776,0.966535,1063256.625924,0.392724,3.196331,0.214036
97,quicklz 1.5.0 -1,430.45,567.25,2887222,1504632,52.11,hello-isolate-x64-O2-text,23097776,0.966535,1063256.625924,0.392724,3.196331,0.214036
98,quicklz 1.5.0 -2,238.39,560.06,2887222,1337332,46.32,hello-isolate-x64-O2-text,23097776,0.966535,1063256.625924,0.392724,3.196331,0.214036
99,snappy 1.2.1,386.78,1144.11,2887222,1602030,55.49,hello-isolate-x64-O2-text,23097776,0.966535,1063256.625924,0.392724,3.196331,0.214036
100,zstd 1.5.7 -1,473.45,1390.43,2887222,1270608,44.01,hello-isolate-x64-O2-text,23097776,0.966535,1063256.625924,0.392724,3.196331,0.214036
101,zstd 1.5.7 -2,387.9,1334.45,2887222,1159694,40.17,hello-isolate-x64-O2-text,23097776,0.966535,1063256.625924,0.392724,3.196331,0.214036
102,zstd 1.5.7 -3,281.87,1246.73,2887222,1090852,37.78,hello-isolate-x64-O2-text,23097776,0.966535,1063256.625924,0.392724,3.196331,0.214036
103,zstd 1.5.7 -4,250.33,1235.29,2887222,1066330,36.93,hello-isolate-x64-O2-text,23097776,0.966535,1063256.625924,0.392724,3.196331,0.214036
104,zstd 1.5.7 -5,133.69,1195.41,2887222,1035991,35.88,hello-isolate-x64-O2-text,23097776,0.966535,1063256.625924,0.392724,3.196331,0.214036
105,memcpy,27235.75,28675.54,2871683,2871683,100.0,hello-isolate-x64-prof-text,22973464,0.959351,1282397.874178,0.381868,3.237998,0.18077
106,fastlz 0.5.0 -1,285.62,654.64,2871683,1577507,54.93,hello-isolate-x64-prof-text,22973464,0.959351,1282397.874178,0.381868,3.237998,0.18077
107,fastlz 0.5.0 -2,276.37,653.96,2871683,1528819,53.24,hello-isolate-x64-prof-text,22973464,0.959351,1282397.874178,0.381868,3.237998,0.18077
108,kanzi 2.3 -1,234.74,1270.13,2871683,1208635,42.09,hello-isolate-x64-prof-text,22973464,0.959351,1282397.874178,0.381868,3.237998,0.18077
109,kanzi 2.3 -2,199.34,537.38,2871683,1046820,36.45,hello-isolate-x64-prof-text,22973464,0.959351,1282397.874178,0.381868,3.237998,0.18077
110,kanzi 2.3 -3,140.28,587.22,2871683,1030778,35.89,hello-isolate-x64-prof-text,22973464,0.959351,1282397.874178,0.381868,3.237998,0.18077
111,lizard 2.1 -10,567.51,3132.71,2871683,1513441,52.7,hello-isolate-x64-prof-text,22973464,0.959351,1282397.874178,0.381868,3.237998,0.18077
112,lizard 2.1 -11,305.72,3141.21,2871683,1378360,48.0,hello-isolate-x64-prof-text,22973464,0.959351,1282397.874178,0.381868,3.237998,0.18077
113,lizard 2.1 -12,167.57,3282.93,2871683,1297265,45.17,hello-isolate-x64-prof-text,22973464,0.959351,1282397.874178,0.381868,3.237998,0.18077
114,lizard 2.1 -13,111.47,3291.85,2871683,1256138,43.74,hello-isolate-x64-prof-text,22973464,0.959351,1282397.874178,0.381868,3.237998,0.18077
115,lizard 2.1 -14,103.38,3302.96,2871683,1232666,42.92,hello-isolate-x64-prof-text,22973464,0.959351,1282397.874178,0.381868,3.237998,0.18077
116,lz4 1.10.0,676.12,4449.1,2871683,1497567,52.15,hello-isolate-x64-prof-text,22973464,0.959351,1282397.874178,0.381868,3.237998,0.18077
117,lz4 1.10.0 --fast -3,794.63,4454.56,2871683,1656156,57.67,hello-isolate-x64-prof-text,22973464,0.959351,1282397.874178,0.381868,3.237998,0.18077
118,lz4 1.10.0 --fast -17,1490.19,6202.75,2871683,2147890,74.8,hello-isolate-x64-prof-text,22973464,0.959351,1282397.874178,0.381868,3.237998,0.18077
119,lzav 4.22 -1,492.67,2877.39,2871683,1338214,46.6,hello-isolate-x64-prof-text,22973464,0.959351,1282397.874178,0.381868,3.237998,0.18077
120,lzav 4.22 -2,92.84,2592.66,2871683,1170015,40.74,hello-isolate-x64-prof-text,22973464,0.959351,1282397.874178,0.381868,3.237998,0.18077
121,lzf 3.6 -0,345.23,598.55,2871683,1554389,54.13,hello-isolate-x64-prof-text,22973464,0.959351,1282397.874178,0.381868,3.237998,0.18077
122,lzf 3.6 -1,335.7,603.87,2871683,1519975,52.93,hello-isolate-x64-prof-text,22973464,0.959351,1282397.874178,0.381868,3.237998,0.18077
123,lzfse 2017-03-08,87.55,765.21,2871683,1035861,36.07,hello-isolate-x64-prof-text,22973464,0.959351,1282397.874178,0.381868,3.237998,0.18077
124,lzo1b 2.10 -1,214.17,624.56,2871683,1486790,51.77,hello-isolate-x64-prof-text,22973464,0.959351,1282397.874178,0.381868,3.237998,0.18077
125,lzo1c 2.10 -1,236.19,635.19,2871683,1495138,52.06,hello-isolate-x64-prof-text,22973464,0.959351,1282397.874178,0.381868,3.237998,0.18077
126,lzof 2.10 -1,202.04,575.28,2871683,1460479,50.86,hello-isolate-x64-prof-text,22973464,0.959351,1282397.874178,0.381868,3.237998,0.18077
127,lzo1x 2.10 -1,518.27,627.82,2871683,1460668,50.86,hello-isolate-x64-prof-text,22973464,0.959351,1282397.874178,0.381868,3.237998,0.18077
128,lzo1y 2.10 -1,529.73,623.21,2871683,1469483,51.17,hello-isolate-x64-prof-text,22973464,0.959351,1282397.874178,0.381868,3.237998,0.18077
129,lzsse4fast 2019-04-18,253.71,4197.27,2871683,1408653,49.05,hello-isolate-x64-prof-text,22973464,0.959351,1282397.874178,0.381868,3.237998,0.18077
130,lzsse8 2019-04-18 -1,4.77,5272.69,2871683,1241479,43.23,hello-isolate-x64-prof-text,22973464,0.959351,1282397.874178,0.381868,3.237998,0.18077
131,lzvn 2017-03-08,73.55,1014.13,2871683,1128583,39.3,hello-isolate-x64-prof-text,22973464,0.959351,1282397.874178,0.381868,3.237998,0.18077
132,quicklz 1.5.0 -1,432.41,578.88,2871683,1421252,49.49,hello-isolate-x64-prof-text,22973464,0.959351,1282397.874178,0.381868,3.237998,0.18077
133,quicklz 1.5.0 -2,240.68,596.89,2871683,1257149,43.78,hello-isolate-x64-prof-text,22973464,0.959351,1282397.874178,0.381868,3.237998,0.18077
134,snappy 1.2.1,378.04,1115.38,2871683,1513608,52.71,hello-isolate-x64-prof-text,22973464,0.959351,1282397.874178,0.381868,3.237998,0.18077
