filename,0,File-bits,Entropy,Chi-square,Mean,Monte-Carlo-Pi,Serial-Correlation
./hello-world-graalvm-linux-x64-O2.tar.tar,1,53084160,0.893430,7647396.224328,0.310223,3.568298,0.284068
./hello-world-graalvm-linux-x64-O3.tar,1,64552960,0.912195,7696874.744579,0.327349,3.504106,0.277552
./hello-world-graalvm-linux-x64-O3.tar.tar,1,64634880,0.911769,7743235.809990,0.326940,3.492449,0.277990
./hello-world-graalvm-linux-x64-Os.tar,1,39895040,0.867797,7085410.420440,0.289286,3.655478,0.292744
./hello-world-graalvm-linux-x64-Os.tar.tar,1,39976960,0.867039,7139372.580627,0.288702,3.680774,0.293323
./hello-world-graalvm-linux-x64-prof.tar,1,417464320,0.933692,37782618.935854,0.349580,3.924250,0.106480
./hello-world-graalvm-linux-x64-prof.tar.tar,1,417546240,0.933631,37824070.130609,0.349512,3.926716,0.106573
./jmh-native-graalvm-linux-x64-debug.tar,1,151633920,0.899397,20651448.200393,0.315478,3.551366,0.260374
./jmh-native-graalvm-linux-x64-debug.tar.tar,1,151715840,0.899209,20700246.916030,0.315310,3.546058,0.260554
./jmh-native-graalvm-linux-x64-O0.tar,1,151633920,0.899550,20620647.547934,0.315616,3.559717,0.255852
./jmh-native-graalvm-linux-x64-O0.tar.tar,1,151715840,0.899362,20669437.397755,0.315448,3.553914,0.256034
./jmh-native-graalvm-linux-x64-O1.tar,1,139018240,0.909140,17139724.627701,0.324436,3.523387,0.266937
./jmh-native-graalvm-linux-x64-O1.tar.tar,1,139100160,0.908940,17186690.137079,0.324247,3.516772,0.267141
./jmh-native-graalvm-linux-x64-O2.tar,1,184074240,0.919305,20204838.157185,0.334346,3.467530,0.266459
./jmh-native-graalvm-linux-x64-O2.tar.tar,1,184156160,0.919160,20249681.026695,0.334199,3.473112,0.266620
./jmh-native-graalvm-linux-x64-O3.tar,1,236503040,0.931955,21956351.630848,0.347654,3.425901,0.256197
./jmh-native-graalvm-linux-x64-O3.tar.tar,1,236584960,0.931847,21998256.445745,0.347535,3.423614,0.256332
./jmh-native-graalvm-linux-x64-Os.tar,1,122798080,0.898911,16802995.374742,0.315044,3.575991,0.271094
./jmh-native-graalvm-linux-x64-Os.tar.tar,1,122880000,0.898678,16851899.833857,0.314837,3.571970,0.271314
./jmh-native-graalvm-linux-x64-prof.tar,1,185712640,0.925333,18889231.310115,0.340538,3.526953,0.225145
./jmh-native-graalvm-linux-x64-prof.tar.tar,1,185794560,0.925191,18932717.477503,0.340390,3.520887,0.225318
./jq-clang-linux-x64-debug.tar,1,491520,0.782420,140639.091797,0.232544,3.575781,0.377247
./jq-clang-linux-x64-debug.tar.tar,1,573440,0.721663,206620.840290,0.199867,3.642391,0.402398
./jq-clang-linux-x64-O0.tar,1,409600,0.741347,137856.728213,0.209929,3.499824,0.449996
./jq-clang-linux-x64-O0.tar.tar,1,491520,0.670248,206963.197664,0.175551,3.592188,0.472415
./jq-clang-linux-x64-O1.tar,1,327680,0.736372,112261.064502,0.207343,3.728098,0.386182
./jq-clang-linux-x64-O1.tar.tar,1,409600,0.649883,182110.228164,0.166606,3.766553,0.415798
./jq-clang-linux-x64-O2.tar,1,327680,0.725472,116569.749036,0.201779,3.702901,0.394970
./jq-clang-linux-x64-O2.tar.tar,1,409600,0.639454,186999.488682,0.162161,3.762803,0.423182
./jq-clang-linux-x64-O3.tar,1,327680,0.747835,107700.743408,0.213348,3.671257,0.398252
./jq-clang-linux-x64-O3.tar.tar,1,409600,0.660945,176888.587852,0.171421,3.748740,0.428288
./jq-clang-linux-x64-Of.tar,1,327680,0.749388,107080.179211,0.214175,3.682391,0.396935
./jq-clang-linux-x64-Of.tar.tar,1,409600,0.662408,176195.309414,0.172065,3.730927,0.427175
./jq-clang-linux-x64-Og.tar,1,327680,0.744437,109055.680676,0.211551,3.713449,0.369695
./jq-clang-linux-x64-Og.tar.tar,1,409600,0.657638,178453.441406,0.169971,3.774522,0.400969
./jq-clang-linux-x64-Os.tar,1,327680,0.717117,119853.903125,0.197607,3.725754,0.391183
./jq-clang-linux-x64-Os.tar.tar,1,409600,0.631481,190715.078213,0.158821,3.791867,0.418891
./jq-clang-linux-x64-static.tar,1,81920,0.035896,80684.692383,0.003784,4.000000,0.443054
./jq-clang-linux-x64-static.tar.tar,1,163840,0.036190,161345.567285,0.003821,4.000000,0.443561
./jq-gcc-linux-x64-debug.tar,1,491520,0.755844,156744.149487,0.217645,3.694922,0.354266
./jq-gcc-linux-x64-debug.tar.tar,1,573440,0.695326,224600.401786,0.187081,3.732798,0.378339
./jq-gcc-linux-x64-O0.tar,1,409600,0.704470,155992.907900,0.191438,3.636705,0.417997
./jq-gcc-linux-x64-O0.tar.tar,1,491520,0.634605,227113.502083,0.160124,3.692969,0.439303
./jq-gcc-linux-x64-O1.tar,1,327680,0.724994,116758.300781,0.201538,3.707589,0.386654
./jq-gcc-linux-x64-O1.tar.tar,1,409600,0.638933,187242.812119,0.161941,3.772179,0.415247
./jq-gcc-linux-x64-O2.tar,1,327680,0.727827,115641.156750,0.202969,3.729270,0.383339
./jq-gcc-linux-x64-O2.tar.tar,1,409600,0.641641,185976.562500,0.163086,3.787648,0.412369
./jq-gcc-linux-x64-O3.tar,1,409600,0.692260,161910.670352,0.185640,3.729521,0.402106
./jq-gcc-linux-x64-O3.tar.tar,1,491520,0.622941,233608.782422,0.155298,3.778125,0.423243
./jq-gcc-linux-x64-Of.tar,1,409600,0.693353,161382.975625,0.186152,3.723895,0.401508
./jq-gcc-linux-x64-Of.tar.tar,1,491520,0.623974,233035.550130,0.155721,3.778906,0.422743
./jq-gcc-linux-x64-Og.tar,1,327680,0.725406,116595.993945,0.201746,3.711691,0.385647
./jq-gcc-linux-x64-Og.tar.tar,1,409600,0.639344,187050.843789,0.162114,3.779210,0.414350
./jq-gcc-linux-x64-Os.tar,1,327680,0.700089,126496.938586,0.189340,3.771462,0.379888
./jq-gcc-linux-x64-Os.tar.tar,1,409600,0.615300,198197.475039,0.152192,3.816243,0.406762
